,comment_text,toxicity_score,toxic
0,yo bitch ja rule is more succesful then youll ever be whats up with you and hating you sad mofuckas i should bitch slap ur pethedic white faces and get you to kiss my ass you guys sicken me ja rule is about pride in da music man dont diss that shit on him and nothin is wrong bein like tupac he was a brother too fuckin white boys get things right next time,0.9945661359171226,1
1,from rfc the title is fine as it is imo,0.03585347209279272,0
2,sources zawe ashton on lapland,0.09797289461607185,0
3,if you have a look back at the source the information i updated was the correct form i can only guess the source hadnt updated i shall update the information once again but thank you for your message,0.008909705177350614,0
4,i dont anonymously edit articles at all,0.08157919859482882,0
5,thank you for understanding i think very highly of you and would not revert without discussion,0.03316615134595766,0
6,please do not add nonsense to wikipedia such edits are considered vandalism and quickly undone if you would like to experiment please use the sandbox instead thank you,0.020359148298748377,0
7,dear god this site is horrible,0.7678068332118138,1
8,only a fool can believe in such numbers the correct number lies between to ponder the numbers carefully this error will persist for a long time as it continues to reproduce the latest reproduction i know is from encyclop dia britannica almanac wich states magnittude fair enough victims today to is not a lot so i guess people just come out with a number that impresses enough i dont know but i know this its just a shameless lucky number that they throw in the air gc,0.045275088056616716,0
9,double redirects when fixing double redirects dont just blank the outer one you need edit it to point it to the final target unless you think its inappropriate in which case it needs to be nominated at wp rfd,0.021120467276530608,0
